"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2017","1.0000","1.0100","1.0200","0.9993","2.87M","-0.99%"
"12/25/2017","1.0100","1.0200","1.0300","1.0000","3.45M","-0.98%"
"12/24/2017","1.0200","1.0300","1.0600","1.0100","3.85M","-0.97%"
"12/23/2017","1.0300","1.0300","1.0400","1.0100","2.50M","0.00%"
"12/22/2017","1.0300","0.9950","1.0400","0.9802","4.50M","3.52%"
"12/21/2017","0.9950","0.9945","1.0000","0.9713","1.75M","0.05%"
"12/20/2017","0.9945","1.0100","1.0100","0.9909","1.89M","-1.53%"
"12/19/2017","1.0100","0.9985","1.0300","0.9900","2.18M","1.15%"
"12/18/2017","0.9985","0.9958","1.0100","0.9953","2.09M","0.27%"
"12/17/2017","0.9958","1.0100","1.0100","0.9900","1.60M","-1.41%"
"12/16/2017","1.0100","1.0000","1.0100","1.0000","884.80K","1.00%"
"12/15/2017","1.0000","1.0000","1.0200","1.0000","1.21M","0.00%"
"12/14/2017","1.0000","1.0000","1.0300","1.0000","1.06M","0.00%"
"12/13/2017","1.0000","1.0200","1.0500","1.0000","1.12M","-1.96%"
"12/12/2017","1.0200","1.0100","1.0300","1.0000","1.19M","0.99%"
"12/11/2017","1.0100","1.0000","1.0200","1.0000","896.91K","1.00%"
"12/10/2017","1.0000","1.0000","1.0200","1.0000","983.31K","0.00%"
"12/09/2017","1.0000","1.0100","1.0200","1.0000","488.25K","-0.99%"
"12/08/2017","1.0100","1.0100","1.0500","1.0000","631.93K","0.00%"
"12/07/2017","1.0100","1.0100","1.0500","1.0000","1.75M","0.00%"
"12/06/2017","1.0100","1.0000","1.0300","0.9967","2.48M","1.00%"
"12/05/2017","1.0000","1.0000","1.0000","0.9850","1.74M","0.00%"
"12/04/2017","1.0000","0.9977","1.0000","0.9860","2.91M","0.23%"
"12/03/2017","0.9977","0.9959","0.9980","0.9840","1.30M","0.18%"
"12/02/2017","0.9959","1.0100","1.0100","0.9826","970.82K","-1.40%"
"12/01/2017","1.0100","1.0100","1.0300","1.0000","457.32K","0.00%"
"11/30/2017","1.0100","0.9988","1.0200","0.9959","1.61M","1.12%"
"11/29/2017","0.9988","0.9924","0.9990","0.9500","1.47M","0.64%"
"11/28/2017","0.9924","0.9978","0.9978","0.9791","531.30K","-0.54%"
"11/27/2017","0.9978","0.9961","1.0000","0.9910","462.45K","0.17%"
"11/26/2017","0.9961","0.9970","1.0000","0.9883","504.13K","-0.09%"
"11/25/2017","0.9970","0.9910","0.9986","0.9880","272.51K","0.61%"
"11/24/2017","0.9910","0.9950","1.0000","0.9860","634.30K","-0.40%"
"11/23/2017","0.9950","0.9985","0.9990","0.9800","317.83K","-0.35%"
"11/22/2017","0.9985","0.9807","1.0000","0.9789","840.34K","1.82%"
"11/21/2017","0.9807","0.9947","0.9970","0.9600","673.37K","-1.41%"
"11/20/2017","0.9947","0.9943","0.9995","0.9006","989.23K","0.04%"
